Data,Value,Open,Max,Min,Vol.[M],Var. %,Day,Month,Year
1/9/2001,49.5,48.23,49.95,42,174.36,3.02,1,9,2001
1/8/2001,48.05,55.4,56.77,47.24,151.46,-14.04,1,8,2001
1/7/2001,55.9,48.95,56.5,46.71,154.12,14.55,1,7,2001
1/6/2001,48.8,51.54,52.45,48,122.59,-5.7,1,6,2001
1/5/2001,51.75,51.72,54.75,51,146.58,0.02,1,5,2001
1/4/2001,51.74,50,53.3,47.41,150,2.46,1,4,2001
1/3/2001,50.5,49.25,51.9,45.2,169.53,0.82,1,3,2001
1/2/2001,50.09,56.8,56.8,48.05,136.95,-11.81,1,2,2001
1/1/2001,56.8,53.12,58.75,50.44,179.93,6.93,1,1,2001
1/12/2000,53.12,52.62,55.94,46.94,172.79,1.78,1,12,2000
1/11/2000,52.19,46.5,52.19,42.56,196.38,15.01,1,11,2000
1/10/2000,45.38,48.19,48.62,41.44,217.37,-5.69,1,10,2000
